Title_original,Context_original,id_original,Question,Answer_original,Answer_generated,bleu_score
 IV. Mustafa,"IV. Mustafa 8 Eylül 1779 tarihinde İstanbul'da doğmuştur, 17 Kasım 1808 tarihinde İstanbul'da ölmüştür. IV. Mustafa 29. Osmanlı padişahı ve 108. İslam halifesidir. IV. Mustafa'nın babası I. Abdülhamid, annesi Ayşe Sineperver Sultan'dır. Bazı kaynaklarda IV. Mustafa'nın annesinin Nükhetsezâ Hanım olduğu iddia edilir. IV. Mustafa, Kabakçı Mustafa İsyanı sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı. IV. Mustafa saltanatı döneminde imparatorluk iç karışıklıklar ile çalkalandı.",30055,IV. Mustafa hangi tarihte İstanbul'da doğmuştur?,8 Eylül 1779 tarihinde,8 Eylül 1779 tarihinde,1.0
 IV. Mustafa,"IV. Mustafa 8 Eylül 1779 tarihinde İstanbul'da doğmuştur, 17 Kasım 1808 tarihinde İstanbul'da ölmüştür. IV. Mustafa 29. Osmanlı padişahı ve 108. İslam halifesidir. IV. Mustafa'nın babası I. Abdülhamid, annesi Ayşe Sineperver Sultan'dır. Bazı kaynaklarda IV. Mustafa'nın annesinin Nükhetsezâ Hanım olduğu iddia edilir. IV. Mustafa, Kabakçı Mustafa İsyanı sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı. IV. Mustafa saltanatı döneminde imparatorluk iç karışıklıklar ile çalkalandı.",30059,IV. Mustafa hangi tarihte İstanbul'da ölmüştür?,17 Kasım 1808 tarihinde,17 Kasım 1808 tarihinde,1.0
 IV. Mustafa,"IV. Mustafa 8 Eylül 1779 tarihinde İstanbul'da doğmuştur, 17 Kasım 1808 tarihinde İstanbul'da ölmüştür. IV. Mustafa 29. Osmanlı padişahı ve 108. İslam halifesidir. IV. Mustafa'nın babası I. Abdülhamid, annesi Ayşe Sineperver Sultan'dır. Bazı kaynaklarda IV. Mustafa'nın annesinin Nükhetsezâ Hanım olduğu iddia edilir. IV. Mustafa, Kabakçı Mustafa İsyanı sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı. IV. Mustafa saltanatı döneminde imparatorluk iç karışıklıklar ile çalkalandı.",30066,IV. Mustafa kaçıncı İslam halifesidir?,108. İslam halifesidir.,İslam halifesidir,0.7026185226629954
 IV. Mustafa,"IV. Mustafa 8 Eylül 1779 tarihinde İstanbul'da doğmuştur, 17 Kasım 1808 tarihinde İstanbul'da ölmüştür. IV. Mustafa 29. Osmanlı padişahı ve 108. İslam halifesidir. IV. Mustafa'nın babası I. Abdülhamid, annesi Ayşe Sineperver Sultan'dır. Bazı kaynaklarda IV. Mustafa'nın annesinin Nükhetsezâ Hanım olduğu iddia edilir. IV. Mustafa, Kabakçı Mustafa İsyanı sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı. IV. Mustafa saltanatı döneminde imparatorluk iç karışıklıklar ile çalkalandı.",30069,IV. Mustafa'nın babası kimdir?,I. Abdülhamid,I. Abdülhamid,1.0
 IV. Mustafa,"IV. Mustafa 8 Eylül 1779 tarihinde İstanbul'da doğmuştur, 17 Kasım 1808 tarihinde İstanbul'da ölmüştür. IV. Mustafa 29. Osmanlı padişahı ve 108. İslam halifesidir. IV. Mustafa'nın babası I. Abdülhamid, annesi Ayşe Sineperver Sultan'dır. Bazı kaynaklarda IV. Mustafa'nın annesinin Nükhetsezâ Hanım olduğu iddia edilir. IV. Mustafa, Kabakçı Mustafa İsyanı sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı. IV. Mustafa saltanatı döneminde imparatorluk iç karışıklıklar ile çalkalandı.",30071,IV. Mustafa'nın annesi kimdir?,Ayşe Sineperver Sultan,Ayşe Sineperver Sultan,1.0
 IV. Mustafa,"IV. Mustafa 8 Eylül 1779 tarihinde İstanbul'da doğmuştur, 17 Kasım 1808 tarihinde İstanbul'da ölmüştür. IV. Mustafa 29. Osmanlı padişahı ve 108. İslam halifesidir. IV. Mustafa'nın babası I. Abdülhamid, annesi Ayşe Sineperver Sultan'dır. Bazı kaynaklarda IV. Mustafa'nın annesinin Nükhetsezâ Hanım olduğu iddia edilir. IV. Mustafa, Kabakçı Mustafa İsyanı sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı. IV. Mustafa saltanatı döneminde imparatorluk iç karışıklıklar ile çalkalandı.",30077,"IV. Mustafa, hangi isyan sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı?",Kabakçı Mustafa İsyanı,Kabakçı Mustafa İsyanı sonunda,0.7187802426635453
 IV. Mustafa,"IV. Mustafa 8 Eylül 1779 tarihinde İstanbul'da doğmuştur, 17 Kasım 1808 tarihinde İstanbul'da ölmüştür. IV. Mustafa 29. Osmanlı padişahı ve 108. İslam halifesidir. IV. Mustafa'nın babası I. Abdülhamid, annesi Ayşe Sineperver Sultan'dır. Bazı kaynaklarda IV. Mustafa'nın annesinin Nükhetsezâ Hanım olduğu iddia edilir. IV. Mustafa, Kabakçı Mustafa İsyanı sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı. IV. Mustafa saltanatı döneminde imparatorluk iç karışıklıklar ile çalkalandı.",30077,"IV. Mustafa, hangi isyan sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı?",Kabakçı Mustafa İsyanı,Kabakçı Mustafa İsyanı sonunda,0.7187802426635453
 IV. Mustafa,"IV. Mustafa 8 Eylül 1779 tarihinde İstanbul'da doğmuştur, 17 Kasım 1808 tarihinde İstanbul'da ölmüştür. IV. Mustafa 29. Osmanlı padişahı ve 108. İslam halifesidir. IV. Mustafa'nın babası I. Abdülhamid, annesi Ayşe Sineperver Sultan'dır. Bazı kaynaklarda IV. Mustafa'nın annesinin Nükhetsezâ Hanım olduğu iddia edilir. IV. Mustafa, Kabakçı Mustafa İsyanı sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı. IV. Mustafa saltanatı döneminde imparatorluk iç karışıklıklar ile çalkalandı.",30077,"IV. Mustafa, hangi isyan sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı?",Kabakçı Mustafa İsyanı,Kabakçı Mustafa İsyanı sonunda,0.7187802426635453
 IV. Mustafa,"IV. Mustafa 8 Eylül 1779 tarihinde İstanbul'da doğmuştur, 17 Kasım 1808 tarihinde İstanbul'da ölmüştür. IV. Mustafa 29. Osmanlı padişahı ve 108. İslam halifesidir. IV. Mustafa'nın babası I. Abdülhamid, annesi Ayşe Sineperver Sultan'dır. Bazı kaynaklarda IV. Mustafa'nın annesinin Nükhetsezâ Hanım olduğu iddia edilir. IV. Mustafa, Kabakçı Mustafa İsyanı sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı. IV. Mustafa saltanatı döneminde imparatorluk iç karışıklıklar ile çalkalandı.",30077,"IV. Mustafa, hangi isyan sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı?",Kabakçı Mustafa İsyanı,Kabakçı Mustafa İsyanı sonunda,0.7187802426635453
 IV. Mustafa,"IV. Mustafa 8 Eylül 1779 tarihinde İstanbul'da doğmuştur, 17 Kasım 1808 tarihinde İstanbul'da ölmüştür. IV. Mustafa 29. Osmanlı padişahı ve 108. İslam halifesidir. IV. Mustafa'nın babası I. Abdülhamid, annesi Ayşe Sineperver Sultan'dır. Bazı kaynaklarda IV. Mustafa'nın annesinin Nükhetsezâ Hanım olduğu iddia edilir. IV. Mustafa, Kabakçı Mustafa İsyanı sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı. IV. Mustafa saltanatı döneminde imparatorluk iç karışıklıklar ile çalkalandı.",30077,"IV. Mustafa, hangi isyan sonunda tahttan indirilen III. Selim'in yerine, 29 Mayıs 1807 günü tahta çıktığında 28 yaşındaydı?",Kabakçı Mustafa İsyanı,Kabakçı Mustafa İsyanı sonunda,0.7187802426635453
