Json Question,Generator Question,Answer,Bleu Score
II. Mehmed'nin Avrupa'da tanınan adı nedir?,Fatih Sultan Mehmed'in Avrupa'da tanınan adı nedir?,Grand Turco 'Büyük Türk' veya Turcarum Imperator 'Türk İmparatoru',0.41113361690051975
II. Mehmed kaç yıl boyunca hüküm sürdü?,II. Mehmed ilk olarak kaç yıl boyunca hüküm sürdü?,30 yıl boyunca,0.5133450480401704
II. Mehmed İstanbul'u kaç yaşında fethetti?,II. Mehmed kaç yaşında İstanbul'u fethetti?,21 yaşında,0.25406637407730737
İstanbul'un fethi ile hangi çağın sonununu getirdiği kabul edildi?,"II. Mehmed, 21 yaşında İstanbul'u fethetek 1000 yıllık Bizans İmparatorluğu'na son verdi ve bu olay birçok tarihçi tarafından hangi olay Yeni Çağ'ın başlangıcı olarak kabul edildi?",Orta Çağ'ın sonu,0.03197383344450448
İstanbul'un fethi ile hangi çağın başlangıçı olarak kabul edildi?,II. Mehmed Orta Çağ'ın sonu ne olarak kabul edildi?,Yeni Çağ'ın başlangıcı,0.17747405280050263
Yavuz Sultan Selim'in saltanatı kısa sürmüş olsa da nasıl bir dönem geçirmiştir?,Sultan Selim hangi hazineyi ağzına kadar doldurmuştur?,babasından devraldığı boş hazineyi ağzına kadar doldurmuştur,0.03214954573057458
İsyancılar isteklerini bildirmek üzere nereye bir heyet gönderdiler?,isyancılar isteklerini bildirmek üzere nereye bir heyet gönderdiler?,Edirne'ye,0.8408964152537145
I. Süleyman'ın doğum tarihi kaçtır?,I. Süleyman ne zaman ölmüştür?,6 Kasım 1494,0.10682175159905853
I. Süleyman'ın ölüm tarihi kaçtır?,I. Süleyman hangi tarihte Zigetvar'da ölmüştür?,7 Eylül 1566,0.08116697886877472
I. Süleyman Osmanlı İmparatorluğunun kaçıncı İslam halifesidir?,I. Süleyman kaçıncı İslam halifesi olmuştur?,89.,0.19433094436376075
I. Süleyman Doğu'da nasıl bilinmektedir?,I. Süleyman Doğu'da hangi padişah olarak bilinmektedir?,Kanunî Sultan Süleyman,0.2626909894424158
I. Süleyman saltanatının toplam ne kadar süresini seferlerde geçirmiştir?,I. Süleyman saltanatının toplam kaç ayını geçirmiştir?,10 yıl 1 ayını,0.32668286409255015
Süleyman'ın Osmanlı Sultanları arasındaki farkı nedir?,I. Süleyman böylece neyi olmuştur?,imparatorluğun hem en uzun süre görev yapan hem en çok sefere çıkan ve de en uzun süre sefer yapan Osmanlı Sultanı,0.0
I. Süleyman hangi olaydan sonra tahta çıktı?,I. Süleyman 1520 yılında ne zaman tahta çıktı?,babası I. Selim'in ölümünün ardından,0.1561969968460128
I. Süleyman Batıda nereleri Osmanlı toprağına kattı?,I. Süleyman Batıda hangi kısmını imparatorluk topraklarına kattı?,"Belgrad, Rodos, Boğdan ve Macaristan'ın büyük kısmını",0.22089591134157885
I. Süleyman Viyana'yı hangi tarihre kuşattı?,I. Süleyman Viyana'yı ne zaman kuşattı?,1529 yılında,0.32466791547509893
Safevîlerle yapılan savaşlar sonrasında ne oldu?,Safevîlerle yapılan savaşlar sonrasında nereyi ele geçirdi?,Irak'ı ele geçirdi,0.41113361690051975
Osmanlı İmparatorluğunun Mağrip'te sınırları nereye kadar uzandı?,Mağrip'te imparatorluğun sınırları nereye kadar uzandı?,Fas'a kadar,0.4548019047027907
Osmanlı Donanması nereye kadar genişledi?,Osmanlı Donanması nereye kadar hakimiyet kurmuştu?,Akdeniz'den Kızıldeniz'e kadar,0.5081327481546147
I. Süleyman padişahlığı döneminde Osmanlı topraklarını kaç km2'ye çıkardı?,I. Süleyman padişahlığı döneminde padişahlığı döneminde nereye ulaştırdı?,14.893.000 km2'ye,0.3050975216056289
Çaldıran Muharebesi hangi tarihte oldu?,Çaldıran Muharebesi hangi tarihte yapılmıştır?,23 Ağustos 1514'te,0.668740304976422
Çaldıran Muharebesi nasıl sonuçlandı?,Çaldıran Muharebesi kimin zaferiyle sonuçlandı?,Osmanlı Ordusu'nun kesin zaferiyle sonuçlandı,0.23643540225079396
Şeyh Haydar'ın ölüm tarihi nedir?,"Osmanlı padişahı II. Bayezid, Şah İsmail'in babası Şeyh Haydar'ın ölüm tarihi nedir?",'1488',0.31702331385234306
"II. Bayezid, Şeyh Haydar'ın takipçileri olan Kızılbaşlar'a ne demiştir?",Şeyh Haydar'ın takipçileri olan Kızılbaşlar'a ne demiştir?,"'Haydar'ın yolunu şaşırmış sürüsü, Allah onlara lânet etsin!'",0.7514772930752859
Safevî şeyhlerinin nerede çok sayıda müritleri vardı?,"Safevî şeyhlerinin nerede çok sayıda müritleri olduğu, bu müritlerin sıkça şeyhlerini ziyaret ettikleri, beraberinde hediyeler götürdükleri ve şeyhlerinden eğitim almak için İran'a gittikleri bilinmekteydi?",Anadolu'da,0.19383418023456653
Safevî şeyhlerinin müritleri neden İran'a gidiyordu?,"Safevî şeyhlerinin Anadolu'da çok sayıda müritleri olduğu, bu müritlerin sıkça şeyhlerini ziyaret ettikleri, beraberinde hediyeler götürdükleri ve ne için İran'a gittikleri bilinmekteydi?",şeyhlerinden eğitim almak için,0.041080536624612696
Safevi Devleti ne zaman kuruldu?,"II. Bayezid, hangi yılda Safevi Devleti'nin kurulmasıyla Kızılbaşlar'ın İran'a gitmesini engellemeye çalışmıştır?",1501 yılında,0.033864985683445356
Osmanlı Devleti neden Kızılbaşlar'ın İran'a gitmesini engellemeye çalıştı?,Osmanlı Devleti Şah İsmail'in Kızılbaş inanışına sahip olmasını ne yaptı?,Anadolu'da büyük bir taraftar kitlesine sahip olmasını ve üstelik komşu topraklarda yükselmesini büyük bir tehdit olarak görmüştür,0.08392229812593097
Osmanlılar ile Venedik arasındaki savaş sırasında Osmanlılar nereleri ele geçirdi?,Osmanlılar ile Venedik arasındaki savaşlar boyunca Osmanlılar nereleri ellerine geçirdiler?,Eğriboz başta olmak üzere birçok adaları,0.31239399369202553
Osmanlılar ile Venedik arasındaki Aantlaşmanın bir diğer şartı nedir?,Antlaşmanın bir diğer şartına göre neresi İstanbul'a gönderecekti?,Venedik Cumhuriyeti en tecrübeli ressamlarından birini Fatih Sultan Mehmet'in tablosunu yapmak üzere İstanbul'a gönderecekti,0.09746997877627238
Uzun Hasan kimdir?,Otlukbeli Muharebesi kimdir?,Akkoyunlu sultanı,0.2259005009024612
Osmanlılar Karakoyunlularla müttefikken Akkoyunlular kimi desteklemiştir?,Osmanlılar Karakoyunlularla müttefikken Akkoyunlular nereyi desteklemişlerdi?,Timur'u,0.5081327481546147
Uzun Hasan ne zaman Trabzon İmparatoru'nun kızıyla evlenmiştir?,Uzun Hasan ne zaman Trabzon İmparatoru IV. İoannis'in kızı Despina Hatun ile evlenmiştir?,1458’de,0.3026643726685863
Uzun Hasan yeğeni Osmanlı Sultanı II. Mehmed’ten ne istedi?,Osmanlı Sultanı II. Mehmed’ten ne istedi?,"Trabzon İmparatorluğu vergisinin affedilmesinden başka, Despina Hatun'a çeyiz olarak verilmiş olan Kayseri bölgesini ve önceki hediyeleri",0.6065306597126334
"Fatih, Uzun Hasan ve müttefiki Trabzon İmparatorluğu kimlere karşı harekete geçti?","Fatih, Uzun Hasan ve müttefiki Trabzon İmparatorluğu ile kime karşı harekete geçti?",Gürcülere karşı,0.6340466277046861
Fatih Gürcülere karşı hangi tarihte harekete geçti?,"Fatih, Uzun Hasan ve müttefiki Trabzon İmparatorluğu ile Gürcülere karşı ne zaman harekete geçti?",1461’de,0.08032276872815308
Fatih 1459’da nereyi aldı?,"Uzun Hasan’ın, 1459’da zaptettiği nereyi aldı?",Koyulhisar’ı,0.1796520559815421
"Ferhat Paşa Antlaşması sonucunda Tebriz, Karabağ, Gürcistan, Dağıstan ve Şirvan kimlere bırakıldı?","Ferhat Paşa Antlaşması sonucunda Tebriz, Karabağ, Gürcistan, Dağıstan ve Şirvan kime bırakıldı?",Osmanlılara,0.8265168183793802
Karamanoğlu kuvvetleri doğuya kaçarken Akkoyunlulara nereye geçti?,Karamanoğlu kuvvetleri doğuya kaçarken ne oldu?,Akkoyunlular sınırı geçti,0.43012508513132625
İki devleti birbirinden ayıran Türkmen devletler hangileridir?,İki devleti birbirinden ayıran 4 tane Türkmen tampon devleti vardı?,"'Karamanoğulları, Ramazanoğulları, Akkoyunlular ve Dulkadiroğulları'",0.2777619034011791
Fatih neden Memlüklüler yerine Akkoyunlular ve Karamanoğulları üzerine yürümüştür?,Fatih Sultan Mehmed Memlüklüler yerine Akkoyunlular ve Karamanoğulları üzerine yürürken neden Akkoyunluları yıkmıştır?,Uzun Hasan'dan ve Karamanoğulları'ndan destek bulamayınca,0.4089601472043678
Fatih neden Memlüklüler yerine Akkoyunlular ve Karamanoğulları üzerine yürümesinin sonucu nedir?,Memlüklüler yerine Akkoyunlular ve Karamanoğulları üzerine yürürken ne oldu?,Akkoyunluları yıkmıştır,0.4703490742954983
Şahkulu İsyanı ne zaman çıkmıştır?,Şahkulu İsyanı hangi tarihte gerçekleşmiştir?,1511 yılı Nisan ayında,0.21364350319811704
1511 yılı Nisan ayında çıkan isyanın adı nedir?,Kim 1511 yılı Nisan ayında Şah İsmail'i kurtarıcı olarak kabul etti?,Şahkulu İsyanı,0.23462350320528
Şahkulu İsyanı kim tarafından çıkarılmıştır?,"Şah İsmail'in şah olma yolunda başkaldırdığını duydukları için kim makam ve mevkiden ziyade şeyhleri Şah İsmail'in başarmasını sağlamak, hiç değilse bu yolda ölmek için isyan ediyor?",Kızılbaşlar,0.014445809981770858
Kızılbaşlar'ın öxelliği neydi?,Kızılbaşlar ne yapıyordu?,ekonomik ve sosyal sebeplerden ziyade mürşidi kamil olarak kabul edip büyük bağlılık gösterdikleri şeyhleri Şah İsmail'le savaşmak için can atıyor dinî coşku ve fanatizmle hareket ediyorlardı,0.0
Kızılbaşlar neden isyan ediyordu?,"Kızılbaşlar neden Kızılbaşlar makam ve mevkiden ziyade şeyhleri Şah İsmail'in başarmasını sağlamak, hiç değilse bu yolda ölmek için isyan ediyordu?",Şah İsmail'in şah olma yolunda başkaldırdığını duydukları için,0.05415315253510895
Kızılbaşlar neden İran'a gidiyordu?,Kızılbaşlar makam ve mevkiden ziyade şeyhleri ne için isyan ediyor?,"Şah İsmail'in başarmasını sağlamak, hiç değilse bu yolda ölmek için",0.041961149062965476
Osmanlı'da yeni sorunların baş gösterme sebebleri nelerdir?,Kim yeni sorunlara zemin hazırladı?,vergi düzeninde yapılan adaletsizlikler ve devlet yönetiminde Türkmenlerin dışlanmaya başlaması,0.07160476144948855
Nerede hanedan değişikliği olmuştu?,Ayrıca nerede hanedan değişikliği olmuştu?,İran'da,0.3976353643835253
İran'da ki yeni hanedan kimdi?,Yeni hanedan kimdi?,Safevîler Şii,0.23196236872272216
Safevîler Şii hedefi neydi?,Safevîler Şii ne istiyorlardı?,etki alanlarını arttırmak istiyorlardı,0.31947155212313627
Safevîler Şii neden Anadolu'ya dailer gönderdi?,Safevîler Şii ne için Anadolu'ya dailer gönderdi?,Şii propogandası yapmak için,0.3073940764756322
