Title,Context,id,Question,Answer
 Serav Antlaşması,"Bâb-ı Âli Baskını, Osmanlı İmparatorluğu'nda 23 Ocak 1913 günü Enver Bey ve Talat Bey'in başını çektiği bir grup İttihat ve Terakki üyesi tarafından hükûmet binası Bâb-ı Âli'nin basılmasıyla yapılan askerî darbe. Bu baskın sırasında Harbiye Nazırı Nâzım Paşa öldürülmüş, Sadrazam Kâmil Paşa'ya zorla istifası imzalattırılmıştır. Darbe sonrasında iktidar İttihat ve Terakki'nin eline geçmiştir. 1911 yılının son aylarında İttihat ve Terakki muhalifi Hürriyet ve İtilaf Fırkası kurulmuş, İstanbul'da yapılan ara seçimleri ise kazanmıştır. İttihat ve Terakki bunun üzerine bir sonraki seçimleri hileyle daha erken bir tarihe aldırmış ve yine hileli bir şekilde seçimleri kazanmıştır. Bunun üzerine Hürriyet ve İtilaf Fırkası yanlısı Halâskâr Zâbitân dağa çıkmış ve eylemleriyle Mehmed Said Paşa Hükûmeti'nin düşmesine sebep olmuştur. Ardından Ahmed Muhtar Paşa'nın sadrazamlığında yeni bir hükûmet kurulmuş fakat dört ay sonra Halâskâr Zâbitân'ın baskıları sonucu Ahmed Muhtar Paşa istifa etmiş ve bu hükûmet de dağılmıştır.",2,"Bâb-ı Âli Baskını, Osmanlı İmparatorluğu'nda 23 Ocak 1913 günü kimin başını çektiği bir grup İttihat ve Terakki üyesi tarafından hükûmet binası Bâb-ı Âli'nin basılmasıyla yapılan askerî darbe?",Enver Bey ve Talat Bey'in
 Serav Antlaşması,"Bâb-ı Âli Baskını, Osmanlı İmparatorluğu'nda 23 Ocak 1913 günü Enver Bey ve Talat Bey'in başını çektiği bir grup İttihat ve Terakki üyesi tarafından hükûmet binası Bâb-ı Âli'nin basılmasıyla yapılan askerî darbe. Bu baskın sırasında Harbiye Nazırı Nâzım Paşa öldürülmüş, Sadrazam Kâmil Paşa'ya zorla istifası imzalattırılmıştır. Darbe sonrasında iktidar İttihat ve Terakki'nin eline geçmiştir. 1911 yılının son aylarında İttihat ve Terakki muhalifi Hürriyet ve İtilaf Fırkası kurulmuş, İstanbul'da yapılan ara seçimleri ise kazanmıştır. İttihat ve Terakki bunun üzerine bir sonraki seçimleri hileyle daha erken bir tarihe aldırmış ve yine hileli bir şekilde seçimleri kazanmıştır. Bunun üzerine Hürriyet ve İtilaf Fırkası yanlısı Halâskâr Zâbitân dağa çıkmış ve eylemleriyle Mehmed Said Paşa Hükûmeti'nin düşmesine sebep olmuştur. Ardından Ahmed Muhtar Paşa'nın sadrazamlığında yeni bir hükûmet kurulmuş fakat dört ay sonra Halâskâr Zâbitân'ın baskıları sonucu Ahmed Muhtar Paşa istifa etmiş ve bu hükûmet de dağılmıştır.",2,Bâb-ı Âli Baskını sırasında kim öldürülmüş?,Harbiye Nazırı Nâzım Paşa
 Serav Antlaşması,"Bâb-ı Âli Baskını, Osmanlı İmparatorluğu'nda 23 Ocak 1913 günü Enver Bey ve Talat Bey'in başını çektiği bir grup İttihat ve Terakki üyesi tarafından hükûmet binası Bâb-ı Âli'nin basılmasıyla yapılan askerî darbe. Bu baskın sırasında Harbiye Nazırı Nâzım Paşa öldürülmüş, Sadrazam Kâmil Paşa'ya zorla istifası imzalattırılmıştır. Darbe sonrasında iktidar İttihat ve Terakki'nin eline geçmiştir. 1911 yılının son aylarında İttihat ve Terakki muhalifi Hürriyet ve İtilaf Fırkası kurulmuş, İstanbul'da yapılan ara seçimleri ise kazanmıştır. İttihat ve Terakki bunun üzerine bir sonraki seçimleri hileyle daha erken bir tarihe aldırmış ve yine hileli bir şekilde seçimleri kazanmıştır. Bunun üzerine Hürriyet ve İtilaf Fırkası yanlısı Halâskâr Zâbitân dağa çıkmış ve eylemleriyle Mehmed Said Paşa Hükûmeti'nin düşmesine sebep olmuştur. Ardından Ahmed Muhtar Paşa'nın sadrazamlığında yeni bir hükûmet kurulmuş fakat dört ay sonra Halâskâr Zâbitân'ın baskıları sonucu Ahmed Muhtar Paşa istifa etmiş ve bu hükûmet de dağılmıştır.",2,"Bu baskın sırasında Harbiye Nazırı Nâzım Paşa öldürülmüş, kime zorla istifası imzalattırılmıştır?",Sadrazam Kâmil Paşa'ya
 Serav Antlaşması,"Bâb-ı Âli Baskını, Osmanlı İmparatorluğu'nda 23 Ocak 1913 günü Enver Bey ve Talat Bey'in başını çektiği bir grup İttihat ve Terakki üyesi tarafından hükûmet binası Bâb-ı Âli'nin basılmasıyla yapılan askerî darbe. Bu baskın sırasında Harbiye Nazırı Nâzım Paşa öldürülmüş, Sadrazam Kâmil Paşa'ya zorla istifası imzalattırılmıştır. Darbe sonrasında iktidar İttihat ve Terakki'nin eline geçmiştir. 1911 yılının son aylarında İttihat ve Terakki muhalifi Hürriyet ve İtilaf Fırkası kurulmuş, İstanbul'da yapılan ara seçimleri ise kazanmıştır. İttihat ve Terakki bunun üzerine bir sonraki seçimleri hileyle daha erken bir tarihe aldırmış ve yine hileli bir şekilde seçimleri kazanmıştır. Bunun üzerine Hürriyet ve İtilaf Fırkası yanlısı Halâskâr Zâbitân dağa çıkmış ve eylemleriyle Mehmed Said Paşa Hükûmeti'nin düşmesine sebep olmuştur. Ardından Ahmed Muhtar Paşa'nın sadrazamlığında yeni bir hükûmet kurulmuş fakat dört ay sonra Halâskâr Zâbitân'ın baskıları sonucu Ahmed Muhtar Paşa istifa etmiş ve bu hükûmet de dağılmıştır.",2,"Bu baskın sırasında Harbiye Nazırı Nâzım Paşa öldürülmüş, kime zorla istifası imzalattırılmıştır?",Sadrazam Kâmil Paşa'ya
 Serav Antlaşması,"Bâb-ı Âli Baskını, Osmanlı İmparatorluğu'nda 23 Ocak 1913 günü Enver Bey ve Talat Bey'in başını çektiği bir grup İttihat ve Terakki üyesi tarafından hükûmet binası Bâb-ı Âli'nin basılmasıyla yapılan askerî darbe. Bu baskın sırasında Harbiye Nazırı Nâzım Paşa öldürülmüş, Sadrazam Kâmil Paşa'ya zorla istifası imzalattırılmıştır. Darbe sonrasında iktidar İttihat ve Terakki'nin eline geçmiştir. 1911 yılının son aylarında İttihat ve Terakki muhalifi Hürriyet ve İtilaf Fırkası kurulmuş, İstanbul'da yapılan ara seçimleri ise kazanmıştır. İttihat ve Terakki bunun üzerine bir sonraki seçimleri hileyle daha erken bir tarihe aldırmış ve yine hileli bir şekilde seçimleri kazanmıştır. Bunun üzerine Hürriyet ve İtilaf Fırkası yanlısı Halâskâr Zâbitân dağa çıkmış ve eylemleriyle Mehmed Said Paşa Hükûmeti'nin düşmesine sebep olmuştur. Ardından Ahmed Muhtar Paşa'nın sadrazamlığında yeni bir hükûmet kurulmuş fakat dört ay sonra Halâskâr Zâbitân'ın baskıları sonucu Ahmed Muhtar Paşa istifa etmiş ve bu hükûmet de dağılmıştır.",2,Darbe sonrasında iktidar kimin eline geçmiştir?,İttihat ve Terakki'nin
 Serav Antlaşması,"Bâb-ı Âli Baskını, Osmanlı İmparatorluğu'nda 23 Ocak 1913 günü Enver Bey ve Talat Bey'in başını çektiği bir grup İttihat ve Terakki üyesi tarafından hükûmet binası Bâb-ı Âli'nin basılmasıyla yapılan askerî darbe. Bu baskın sırasında Harbiye Nazırı Nâzım Paşa öldürülmüş, Sadrazam Kâmil Paşa'ya zorla istifası imzalattırılmıştır. Darbe sonrasında iktidar İttihat ve Terakki'nin eline geçmiştir. 1911 yılının son aylarında İttihat ve Terakki muhalifi Hürriyet ve İtilaf Fırkası kurulmuş, İstanbul'da yapılan ara seçimleri ise kazanmıştır. İttihat ve Terakki bunun üzerine bir sonraki seçimleri hileyle daha erken bir tarihe aldırmış ve yine hileli bir şekilde seçimleri kazanmıştır. Bunun üzerine Hürriyet ve İtilaf Fırkası yanlısı Halâskâr Zâbitân dağa çıkmış ve eylemleriyle Mehmed Said Paşa Hükûmeti'nin düşmesine sebep olmuştur. Ardından Ahmed Muhtar Paşa'nın sadrazamlığında yeni bir hükûmet kurulmuş fakat dört ay sonra Halâskâr Zâbitân'ın baskıları sonucu Ahmed Muhtar Paşa istifa etmiş ve bu hükûmet de dağılmıştır.",2,hangi yılda İttihat ve Terakki muhalifi Hürriyet ve İtilaf Fırkası kurulmuş?,1911 yılının son aylarında
 Serav Antlaşması,"Bâb-ı Âli Baskını, Osmanlı İmparatorluğu'nda 23 Ocak 1913 günü Enver Bey ve Talat Bey'in başını çektiği bir grup İttihat ve Terakki üyesi tarafından hükûmet binası Bâb-ı Âli'nin basılmasıyla yapılan askerî darbe. Bu baskın sırasında Harbiye Nazırı Nâzım Paşa öldürülmüş, Sadrazam Kâmil Paşa'ya zorla istifası imzalattırılmıştır. Darbe sonrasında iktidar İttihat ve Terakki'nin eline geçmiştir. 1911 yılının son aylarında İttihat ve Terakki muhalifi Hürriyet ve İtilaf Fırkası kurulmuş, İstanbul'da yapılan ara seçimleri ise kazanmıştır. İttihat ve Terakki bunun üzerine bir sonraki seçimleri hileyle daha erken bir tarihe aldırmış ve yine hileli bir şekilde seçimleri kazanmıştır. Bunun üzerine Hürriyet ve İtilaf Fırkası yanlısı Halâskâr Zâbitân dağa çıkmış ve eylemleriyle Mehmed Said Paşa Hükûmeti'nin düşmesine sebep olmuştur. Ardından Ahmed Muhtar Paşa'nın sadrazamlığında yeni bir hükûmet kurulmuş fakat dört ay sonra Halâskâr Zâbitân'ın baskıları sonucu Ahmed Muhtar Paşa istifa etmiş ve bu hükûmet de dağılmıştır.",2,1911 yılının son aylarında hangi muhalifi kurulmuş?,İttihat ve Terakki muhalifi Hürriyet ve İtilaf Fırkası
 Serav Antlaşması,"Bâb-ı Âli Baskını, Osmanlı İmparatorluğu'nda 23 Ocak 1913 günü Enver Bey ve Talat Bey'in başını çektiği bir grup İttihat ve Terakki üyesi tarafından hükûmet binası Bâb-ı Âli'nin basılmasıyla yapılan askerî darbe. Bu baskın sırasında Harbiye Nazırı Nâzım Paşa öldürülmüş, Sadrazam Kâmil Paşa'ya zorla istifası imzalattırılmıştır. Darbe sonrasında iktidar İttihat ve Terakki'nin eline geçmiştir. 1911 yılının son aylarında İttihat ve Terakki muhalifi Hürriyet ve İtilaf Fırkası kurulmuş, İstanbul'da yapılan ara seçimleri ise kazanmıştır. İttihat ve Terakki bunun üzerine bir sonraki seçimleri hileyle daha erken bir tarihe aldırmış ve yine hileli bir şekilde seçimleri kazanmıştır. Bunun üzerine Hürriyet ve İtilaf Fırkası yanlısı Halâskâr Zâbitân dağa çıkmış ve eylemleriyle Mehmed Said Paşa Hükûmeti'nin düşmesine sebep olmuştur. Ardından Ahmed Muhtar Paşa'nın sadrazamlığında yeni bir hükûmet kurulmuş fakat dört ay sonra Halâskâr Zâbitân'ın baskıları sonucu Ahmed Muhtar Paşa istifa etmiş ve bu hükûmet de dağılmıştır.",2,Kim bunun üzerine bir sonraki seçimleri hileyle daha erken bir tarihe aldırmış ve yine hileli bir şekilde seçimleri kazanmıştır?,İttihat ve Terakki
 Serav Antlaşması,"Bâb-ı Âli Baskını, Osmanlı İmparatorluğu'nda 23 Ocak 1913 günü Enver Bey ve Talat Bey'in başını çektiği bir grup İttihat ve Terakki üyesi tarafından hükûmet binası Bâb-ı Âli'nin basılmasıyla yapılan askerî darbe. Bu baskın sırasında Harbiye Nazırı Nâzım Paşa öldürülmüş, Sadrazam Kâmil Paşa'ya zorla istifası imzalattırılmıştır. Darbe sonrasında iktidar İttihat ve Terakki'nin eline geçmiştir. 1911 yılının son aylarında İttihat ve Terakki muhalifi Hürriyet ve İtilaf Fırkası kurulmuş, İstanbul'da yapılan ara seçimleri ise kazanmıştır. İttihat ve Terakki bunun üzerine bir sonraki seçimleri hileyle daha erken bir tarihe aldırmış ve yine hileli bir şekilde seçimleri kazanmıştır. Bunun üzerine Hürriyet ve İtilaf Fırkası yanlısı Halâskâr Zâbitân dağa çıkmış ve eylemleriyle Mehmed Said Paşa Hükûmeti'nin düşmesine sebep olmuştur. Ardından Ahmed Muhtar Paşa'nın sadrazamlığında yeni bir hükûmet kurulmuş fakat dört ay sonra Halâskâr Zâbitân'ın baskıları sonucu Ahmed Muhtar Paşa istifa etmiş ve bu hükûmet de dağılmıştır.",2,Hürriyet ve İtilaf Fırkası yanlısı Halâskâr Zâbitân dağa çıkmış ve eylemleriyle kimin düşmesine sebep olmuştur?,Mehmed Said Paşa Hükûmeti'nin
 Serav Antlaşması,"Bâb-ı Âli Baskını, Osmanlı İmparatorluğu'nda 23 Ocak 1913 günü Enver Bey ve Talat Bey'in başını çektiği bir grup İttihat ve Terakki üyesi tarafından hükûmet binası Bâb-ı Âli'nin basılmasıyla yapılan askerî darbe. Bu baskın sırasında Harbiye Nazırı Nâzım Paşa öldürülmüş, Sadrazam Kâmil Paşa'ya zorla istifası imzalattırılmıştır. Darbe sonrasında iktidar İttihat ve Terakki'nin eline geçmiştir. 1911 yılının son aylarında İttihat ve Terakki muhalifi Hürriyet ve İtilaf Fırkası kurulmuş, İstanbul'da yapılan ara seçimleri ise kazanmıştır. İttihat ve Terakki bunun üzerine bir sonraki seçimleri hileyle daha erken bir tarihe aldırmış ve yine hileli bir şekilde seçimleri kazanmıştır. Bunun üzerine Hürriyet ve İtilaf Fırkası yanlısı Halâskâr Zâbitân dağa çıkmış ve eylemleriyle Mehmed Said Paşa Hükûmeti'nin düşmesine sebep olmuştur. Ardından Ahmed Muhtar Paşa'nın sadrazamlığında yeni bir hükûmet kurulmuş fakat dört ay sonra Halâskâr Zâbitân'ın baskıları sonucu Ahmed Muhtar Paşa istifa etmiş ve bu hükûmet de dağılmıştır.",2,Kim dağa çıkmış ve eylemleriyle Mehmed Said Paşa Hükûmeti'nin düşmesine sebep olmuştur?,Hürriyet ve İtilaf Fırkası yanlısı Halâskâr Zâbitân
